ID start end name
f0t0e0 217.32 222.08 stile
f0t0e1 222.44 225.48 rail
f0t0e2 231.64 235.04 rail
f0t0e3 237.84 240.08 rail
f0t0e4 244.84 249.56 stile
f0t0e5 273.36 279.48 rail
f0t0e6 287.2 289.92 rail
f0t0e7 296.12 299.36 seat
f0t0e8 308.52 311.64 rail
f0t0e9 329.96 337.6 thumbtack
f0t0e10 344.96 347.96 thumbtack
f0t0e11 366.4 370.72 thumbtack
f0t0e12 381.88 384.84 thumbtack
f0t0e13 399.68 407.28 thumbtack
f0t0e14 420.64 424.08 thumbtack
f0t0e15 429.96 434.92 stickynotes
f0t0e16 438.16 442.48 marker
f0t0e17 449.12 455.68 tape
f0t0e18 461.4 464.04 scissors
f0t0e19 551.12 556.12 stile
f0t0e20 556.52 559.6 rail
f0t0e21 561.04 564.44 rail
f0t0e22 566.12 569.12 rail
f0t0e23 571.8 575 stile
f0t0e24 616.36 620.76 seat
f0t0e25 629.24 632.88 thumbtack
f0t0e26 635.88 639.44 thumbtack
f0t0e27 642.64 646.8 thumbtack
f0t0e28 651.52 654.68 rail
f0t0e29 664.2 669.96 thumbtack
f0t0e30 677.8 681.44 thumbtack
f0t0e31 703.48 707.28 thumbtack
f0t0e32 713 716.4 rail
f0t0e33 724 727.84 thumbtack
f0t0e34 732.76 736.68 rail
f0t0e35 749.6 753.32 stickynotes
f0t0e36 759.88 762.48 marker
f0t0e37 767.84 771.2 tape
f0t0e38 771.2 776.2 scissors
f0t0e39 843.64 847.76 stile
f0t0e40 847.76 850.8 rail
f0t0e41 852 854.6 rail
f0t0e42 855.8 859.04 rail
f0t0e43 860.04 863.16 stile
f0t0e44 881.32 884.04 seat
f0t0e45 888.16 893.48 thumbtack
f0t0e46 898.64 902.04 thumbtack
f0t0e47 905.4 908.92 thumbtack
f0t0e48 915.4 918.32 thumbtack
f0t0e49 921.68 924.88 rail
f0t0e50 928.8 932.84 thumbtack
f0t0e51 937.2 940.44 thumbtack
f0t0e52 946.4 949.48 rail
f0t0e53 955.96 959.28 thumbtack
f0t0e54 962.04 966.28 thumbtack
f0t0e55 969.96 972.72 rail
f0t0e56 989.36 992.76 stickynotes
f0t0e57 995.24 997.52 marker
f0t0e58 1001.84 1005.44 tape
f0t0e59 1011.72 1016.2 scissors
f0t0e60 1081.28 1085.48 stile
f0t0e61 1086.32 1090.68 rail
f0t0e62 1092.72 1095.72 rail
f0t0e63 1096.08 1098.88 rail
f0t0e64 1099.16 1102.64 stile
f0t0e65 1120.8 1123.32 seat
f0t0e66 1130.08 1134.4 thumbtack
f0t0e67 1137.8 1142.04 thumbtack
f0t0e68 1144.08 1146.72 thumbtack
f0t0e69 1149 1152.16 thumbtack
f0t0e70 1154.16 1157.16 rail
f0t0e71 1161.8 1165.36 thumbtack
f0t0e72 1167.44 1171 thumbtack
f0t0e73 1173.4 1176.4 rail
f0t0e74 1180.56 1186.32 thumbtack
f0t0e75 1188.64 1191.52 rail
f0t0e76 1196.8 1200.12 stickynotes
f0t0e77 1200.44 1204.8 marker
f0t0e78 1208.28 1213.12 tape
f0t0e79 1216.76 1221.32 scissors
f0t0e80 1290.92 1295 stile
f0t0e81 1295 1298.32 rail
f0t0e82 1299.28 1301.76 rail
f0t0e83 1302.32 1304.84 rail
f0t0e84 1305.44 1308.44 stile
f0t0e85 1317.64 1319.12 seat
f0t0e86 1326.6 1329.68 thumbtack
f0t0e87 1332.36 1335.36 thumbtack
f0t0e88 1337.56 1340.56 thumbtack
f0t0e89 1343.32 1346.88 thumbtack
f0t0e90 1349.12 1352.12 rail
f0t0e91 1356.28 1360.16 thumbtack
f0t0e92 1361.64 1364.72 thumbtack
f0t0e93 1366.6 1369.28 rail
f0t0e94 1375.4 1378.8 thumbtack
f0t0e95 1381.6 1384.32 rail
f0t0e96 1424.16 1427 stickynotes
f0t0e97 1427.64 1430.84 marker
f0t0e98 1433.2 1438.48 tape
f0t0e99 1440.4 1444.4 scissors
