ID start end name
f0t0e0 26.88 31.16 stile
f0t0e1 31.16 34.52 rail
f0t0e2 34.52 39.8 rail
f0t0e3 41.24 44.32 rail
f0t0e4 47.12 51.52 stile
f0t0e5 63.84 67.12 seat
f0t0e6 73.76 76.72 rail
f0t0e7 86.4 89.68 rail
f0t0e8 94.56 97.76 rail
f0t0e9 129.72 133.08 thumbtack
f0t0e10 139.08 143.88 thumbtack
f0t0e11 147.16 152.08 thumbtack
f0t0e12 157.4 161.76 thumbtack
f0t0e13 174.16 177.92 thumbtack
f0t0e14 189.04 192.4 thumbtack
f0t0e15 196.64 200.28 thumbtack
f0t0e16 206.28 209.72 thumbtack
f0t0e17 215.36 219.6 stickynotes
f0t0e18 219.6 222.6 marker
f0t0e19 237.56 242.6 tape
f0t0e20 245.52 250.76 scissors
f0t0e21 409.52 413.64 stile
f0t0e22 413.64 416.72 rail
f0t0e23 419.44 422.76 rail
f0t0e24 423.92 428.04 stile
f0t0e25 429.92 435.36 rail
f0t0e26 484.8 488.2 seat
f0t0e27 505.88 508.88 rail
f0t0e28 515.52 518.72 rail
f0t0e29 528 531.08 rail
f0t0e30 540 543.84 thumbtack
f0t0e31 550.16 553.28 thumbtack
f0t0e32 560.2 563.6 thumbtack
f0t0e33 572.88 577.2 thumbtack
f0t0e34 581.96 585.76 thumbtack
f0t0e35 598.08 602.48 stickynotes
f0t0e36 603.48 607.52 marker
f0t0e37 620.44 624.12 thumbtack
f0t0e38 636.56 638.88 tape
f0t0e39 638.88 645.12 scissors
f0t0e40 732.68 736.24 stile
f0t0e41 738.56 743.12 rail
f0t0e42 745.32 748.36 rail
f0t0e43 751 753.72 rail
f0t0e44 757.64 762.2 stile
f0t0e45 763.52 770.12 seat
f0t0e46 794.28 799.08 rail
f0t0e47 806.56 809.92 rail
f0t0e48 816.52 819.8 rail
f0t0e49 865 868.44 thumbtack
f0t0e50 873.52 876.68 thumbtack
f0t0e51 880.24 883.24 thumbtack
f0t0e52 885.64 889.6 thumbtack
f0t0e53 893.52 897.16 thumbtack
f0t0e54 906.52 909.96 thumbtack
f0t0e55 919.24 922.8 thumbtack
f0t0e56 929.6 933.96 stickynotes
f0t0e57 934.84 937.76 marker
f0t0e58 945.08 950.2 tape
f0t0e59 950.2 954.52 scissors
f0t0e60 1031.52 1035.36 stile
f0t0e61 1036.68 1040.04 rail
f0t0e62 1041.56 1044.92 rail
f0t0e63 1046.92 1049.88 rail
f0t0e64 1052 1055.8 seat
f0t0e65 1059.56 1064.56 stile
f0t0e66 1081.4 1086.4 rail
f0t0e67 1091.44 1094.64 rail
f0t0e68 1106.44 1109.48 rail
f0t0e69 1121 1125.52 thumbtack
f0t0e70 1128.56 1132.04 thumbtack
f0t0e71 1136.44 1140.2 thumbtack
f0t0e72 1143.28 1146.68 thumbtack
f0t0e73 1156.16 1160.08 stickynotes
f0t0e74 1160.08 1162.8 marker
f0t0e75 1167.08 1173.6 tape
f0t0e76 1178.08 1182.32 scissors
f0t0e77 1272.52 1276.8 stile
f0t0e78 1276.8 1280.84 rail
f0t0e79 1282.72 1285.8 rail
f0t0e80 1287 1289.96 rail
f0t0e81 1291.32 1294.68 seat
f0t0e82 1298.16 1302.76 stile
f0t0e83 1320.56 1324.56 rail
f0t0e84 1328.04 1331.24 rail
f0t0e85 1335.04 1338.12 rail
f0t0e86 1355.28 1359.48 thumbtack
f0t0e87 1362.56 1366.4 thumbtack
f0t0e88 1369.28 1373.88 thumbtack
f0t0e89 1379.36 1383.12 thumbtack
f0t0e90 1396.36 1400.44 thumbtack
f0t0e91 1406.56 1410.36 thumbtack
f0t0e92 1419.6 1423.68 thumbtack
f0t0e93 1433.76 1437.92 stickynotes
f0t0e94 1437.92 1441.08 marker
f0t0e95 1447.16 1451.6 tape
f0t0e96 1451.6 1457.48 scissors
