ID start end name
f0t0e0 60.96 66.48 stile
f0t0e1 67.44 70.56 rail
f0t0e2 82.84 86.84 rail
f0t0e3 91.76 96 rail
f0t0e4 100.92 105.88 stile
f0t0e5 128.96 133.8 seat
f0t0e6 146.72 153 rail
f0t0e7 173.32 177.36 rail
f0t0e8 186.12 189.52 rail
f0t0e9 237.16 248.28 thumbtack
f0t0e10 253.4 258.32 thumbtack
f0t0e11 267.48 270.8 thumbtack
f0t0e12 275.6 280.16 thumbtack
f0t0e13 283.92 287.76 thumbtack
f0t0e14 292 294.28 thumbtack
f0t0e15 307.72 309.68 thumbtack
f0t0e16 315 317.48 thumbtack
f0t0e17 324.92 327.48 thumbtack
f0t0e18 331.72 334.44 thumbtack
f0t0e19 336.96 339.08 thumbtack
f0t0e20 344.16 346.2 thumbtack
f0t0e21 349.76 351.68 thumbtack
f0t0e22 357.92 359.84 thumbtack
f0t0e23 363.88 365.52 thumbtack
f0t0e24 372.52 375.28 thumbtack
f0t0e25 379.96 387.04 stickynotes
f0t0e26 387.48 391.04 marker
f0t0e27 404.48 412.2 tape
f0t0e28 420.28 425.44 scissors
