ID start end name
f0t0e0 249.36 252.88 stile
f0t0e1 252.88 255.8 rail
f0t0e2 261.08 264.56 rail
f0t0e3 267.48 271.12 rail
f0t0e4 272.56 276.68 stile
f0t0e5 305.76 310.12 seat
f0t0e6 320.48 326.64 rail
f0t0e7 342.6 347.36 rail
f0t0e8 358.16 362.16 rail
f0t0e9 380.52 388.08 thumbtack
f0t0e10 400.68 406.44 thumbtack
f0t0e11 413.08 417.72 thumbtack
f0t0e12 424.96 428.8 thumbtack
f0t0e13 433.24 437 thumbtack
f0t0e14 441.84 445.16 thumbtack
f0t0e15 449 451.4 thumbtack
f0t0e16 456.56 459 thumbtack
f0t0e17 464.72 466.56 thumbtack
f0t0e18 471.08 473.08 thumbtack
f0t0e19 477.08 479.64 thumbtack
f0t0e20 483.72 485.52 thumbtack
f0t0e21 491.96 493.88 thumbtack
f0t0e22 497.96 500.24 thumbtack
f0t0e23 502.88 505 thumbtack
f0t0e24 508.96 510.8 thumbtack
f0t0e25 516.64 522.08 stickynotes
f0t0e26 522.08 526 marker
f0t0e27 546.88 552.08 tape
f0t0e28 552.08 557.44 scissors
f0t0e29 800.72 804.12 stile
f0t0e30 804.12 808.48 rail
f0t0e31 810.12 814.24 rail
f0t0e32 817.72 820.96 rail
f0t0e33 824.88 829.64 stile
f0t0e34 858.92 863.64 seat
f0t0e35 877.04 883.12 rail
f0t0e36 889 893 rail
f0t0e37 917.44 921.44 rail
f0t0e38 970.32 975.8 thumbtack
f0t0e39 985.88 987.68 thumbtack
f0t0e40 990.76 992.84 thumbtack
f0t0e41 995.96 998.28 thumbtack
f0t0e42 1002.24 1004.4 thumbtack
f0t0e43 1007.12 1009.68 thumbtack
f0t0e44 1012.52 1014.32 thumbtack
f0t0e45 1017.36 1019.64 thumbtack
f0t0e46 1023.12 1027.44 thumbtack
f0t0e47 1030.56 1032.12 thumbtack
f0t0e48 1035.8 1037.64 thumbtack
f0t0e49 1040 1041.92 thumbtack
f0t0e50 1045.04 1047.72 thumbtack
f0t0e51 1050.36 1052.2 thumbtack
f0t0e52 1054.92 1056.72 thumbtack
f0t0e53 1058.92 1061.4 thumbtack
f0t0e54 1067.84 1071.8 stickynotes
f0t0e55 1074.4 1077.8 marker
f0t0e56 1097.6 1102.08 tape
f0t0e57 1102.08 1107 scissors
f0t0e58 1262.32 1267.08 stile
f0t0e59 1267.08 1271.52 rail
f0t0e60 1274.4 1280.04 rail
f0t0e61 1281.88 1285.44 rail
