ID start end name
f0t0e0 59.64 63.96 stile
f0t0e1 65.32 68.48 rail
f0t0e2 73.28 75.72 rail
f0t0e3 78.56 82.24 rail
f0t0e4 85.04 88.16 stile
f0t0e5 112.32 117.24 seat
f0t0e6 127.76 130.52 rail
f0t0e7 150.32 153.4 rail
f0t0e8 170.12 173.2 rail
f0t0e9 181.36 185.88 thumbtack
f0t0e10 192.24 196.52 thumbtack
f0t0e11 201.56 205.8 thumbtack
f0t0e12 213.12 216.8 thumbtack
f0t0e13 225.24 229.4 thumbtack
f0t0e14 234 237.64 thumbtack
f0t0e15 243.16 246.92 thumbtack
f0t0e16 254.76 258.88 thumbtack
f0t0e17 267.36 272.08 thumbtack
f0t0e18 275.36 280.24 thumbtack
f0t0e19 282.92 286.12 thumbtack
f0t0e20 286.48 290.68 thumbtack
f0t0e21 312.76 318.64 stickynotes
f0t0e22 318.64 322.36 marker
f0t0e23 345 352.08 tape
f0t0e24 486.48 490.84 stile
f0t0e25 491.4 494.16 rail
f0t0e26 495.84 498.24 rail
f0t0e27 501.48 504.36 rail
f0t0e28 506.88 510.48 stile
f0t0e29 520.96 524.68 seat
f0t0e30 531.72 535 rail
f0t0e31 546.24 550.24 rail
f0t0e32 577.28 580.24 rail
f0t0e33 588.16 594.4 thumbtack
f0t0e34 609.16 612.76 thumbtack
f0t0e35 621.44 625.2 thumbtack
f0t0e36 629.2 632.52 thumbtack
f0t0e37 637.08 640.76 thumbtack
f0t0e38 644.96 648.16 thumbtack
f0t0e39 652.6 655.88 thumbtack
f0t0e40 661.72 665.2 thumbtack
f0t0e41 672.6 676.44 thumbtack
f0t0e42 686 689.48 thumbtack
f0t0e43 694.04 698.76 stickynotes
f0t0e44 698.76 703 marker
f0t0e45 716.64 719.8 tape
f0t0e46 815.04 818.28 stile
f0t0e47 818.96 821.48 rail
f0t0e48 823.16 825.88 rail
f0t0e49 828.48 831.2 rail
f0t0e50 833.56 837.52 stile
f0t0e51 848.84 852.16 seat
f0t0e52 857.36 861.84 rail
f0t0e53 869.92 874.2 rail
f0t0e54 878.76 881.92 rail
f0t0e55 887.96 892.88 thumbtack
f0t0e56 899.16 902.68 thumbtack
f0t0e57 907.04 910.6 thumbtack
f0t0e58 914.2 918.12 thumbtack
f0t0e59 921.24 924.68 thumbtack
f0t0e60 927.64 931.16 thumbtack
f0t0e61 934.68 938.64 thumbtack
f0t0e62 944.2 947.6 thumbtack
f0t0e63 956.08 961.56 stickynotes
f0t0e64 961.56 964.72 marker
f0t0e65 975.6 979.84 tape
f0t0e66 1099.4 1102.24 stile
f0t0e67 1102.24 1105.6 rail
f0t0e68 1107.56 1110.64 rail
f0t0e69 1112.44 1115.08 rail
f0t0e70 1117.64 1120.88 stile
f0t0e71 1135.2 1140 seat
f0t0e72 1146.08 1148.56 rail
f0t0e73 1156.04 1160.16 rail
f0t0e74 1169.92 1173.28 rail
f0t0e75 1182.76 1187.2 thumbtack
f0t0e76 1194.32 1197.28 thumbtack
f0t0e77 1200.28 1203.12 thumbtack
f0t0e78 1206.2 1209.2 thumbtack
f0t0e79 1212.76 1216.44 thumbtack
f0t0e80 1219.32 1222.24 thumbtack
f0t0e81 1226.52 1229.4 thumbtack
f0t0e82 1233.04 1236.32 thumbtack
f0t0e83 1240.8 1243.56 seat
f0t0e84 1245 1247.72 marker
f0t0e85 1260.72 1263.56 tape
f0t0e86 1324.64 1326.88 stile
f0t0e87 1327.84 1330.4 rail
f0t0e88 1332.4 1336 rail
f0t0e89 1337.08 1340.76 rail
f0t0e90 1344.12 1345.8 stile
f0t0e91 1366.44 1369.64 seat
f0t0e92 1374.12 1377.52 rail
f0t0e93 1386.36 1389.56 rail
f0t0e94 1402.36 1405.04 rail
f0t0e95 1473.52 1476.52 thumbtack
f0t0e96 1479.76 1483.04 thumbtack
f0t0e97 1485.4 1488.88 thumbtack
f0t0e98 1491.36 1494.36 thumbtack
f0t0e99 1502.36 1506.08 thumbtack
f0t0e100 1510.24 1513.68 thumbtack
f0t0e101 1515.48 1520.12 thumbtack
f0t0e102 1520.84 1525.16 thumbtack
f0t0e103 1531.36 1536.08 stickynotes
f0t0e104 1536.68 1539.56 marker
f0t0e105 1547.6 1550.96 tape
